problem_name,algo_name,Noise_type,Noise_intensity,Max_fitness,Min_fitness,Final_fitness
OneMax_100item,EA,post,0,91.0,55.0,66.0
OneMax_100item,EA,post,0,88.0,49.0,81.0
OneMax_100item,EA,post,0,86.0,55.0,72.0
OneMax_100item,EA,post,0,89.0,57.0,73.0
OneMax_100item,EA,post,0,91.0,46.0,73.0
OneMax_100item,EA,post,0,91.0,61.0,72.0
OneMax_100item,EA,post,0,90.0,59.0,80.0
OneMax_100item,EA,post,0,91.0,51.0,78.0
OneMax_100item,EA,post,0,86.0,52.0,76.0
OneMax_100item,EA,post,0,91.0,60.0,78.0
OneMax_100item,EA,post,0,88.0,53.0,78.0
OneMax_100item,EA,post,0,88.0,54.0,78.0
OneMax_100item,EA,post,0,88.0,52.0,75.0
OneMax_100item,EA,post,0,87.0,54.0,78.0
OneMax_100item,EA,post,0,88.0,45.0,74.0
OneMax_100item,EA,post,0,88.0,51.0,76.0
OneMax_100item,EA,post,0,89.0,55.0,75.0
OneMax_100item,EA,post,0,87.0,54.0,78.0
OneMax_100item,EA,post,0,87.0,53.0,83.0
OneMax_100item,EA,post,0,88.0,53.0,77.0
OneMax_100item,EA,post,0,90.0,55.0,78.0
OneMax_100item,EA,post,0,89.0,54.0,84.0
OneMax_100item,EA,post,0,89.0,59.0,73.0
OneMax_100item,EA,post,0,87.0,61.0,76.0
OneMax_100item,EA,post,0,90.0,53.0,79.0
OneMax_100item,EA,post,0,88.0,51.0,81.0
OneMax_100item,EA,post,0,87.0,53.0,77.0
OneMax_100item,EA,post,0,88.0,58.0,82.0
OneMax_100item,EA,post,0,88.0,50.0,73.0
OneMax_100item,EA,post,0,88.0,58.0,81.0
OneMax_100item,EA,post,0,89.0,51.0,77.0
OneMax_100item,EA,post,0,89.0,52.0,79.0
OneMax_100item,EA,post,0,88.0,57.0,75.0
OneMax_100item,EA,post,0,88.0,55.0,83.0
OneMax_100item,EA,post,0,89.0,54.0,80.0
OneMax_100item,EA,post,0,88.0,59.0,82.0
OneMax_100item,EA,post,0,90.0,56.0,76.0
OneMax_100item,EA,post,0,88.0,55.0,82.0
OneMax_100item,EA,post,0,90.0,55.0,80.0
OneMax_100item,EA,post,0,88.0,54.0,74.0
OneMax_100item,EA,post,0,88.0,51.0,82.0
OneMax_100item,EA,post,0,87.0,54.0,77.0
OneMax_100item,EA,post,0,90.0,53.0,79.0
OneMax_100item,EA,post,0,92.0,61.0,75.0
OneMax_100item,EA,post,0,88.0,53.0,76.0
OneMax_100item,EA,post,0,89.0,55.0,78.0
OneMax_100item,EA,post,0,92.0,51.0,75.0
OneMax_100item,EA,post,0,90.0,62.0,75.0
